User,Time,Model,Input tokens,Output tokens,Cost,Balance
open-ui,6/17/2026, 7:14:42 AM,viewpoint-local,5507,1966,0.2242,90577.5162
open-ui,6/17/2026, 7:13:57 AM,viewpoint-local,4409,1079,0.1646,90577.7404
open-ui,6/17/2026, 7:13:37 AM,viewpoint-local,3473,914,0.1316,90577.9050
open-ui,6/17/2026, 7:12:59 AM,viewpoint-local,2278,1178,0.1037,90578.0366
open-ui,6/17/2026, 7:07:01 AM,openai/gpt-oss-20b,6154,1047,0.7201,90578.1403
open-ui,6/17/2026, 7:06:35 AM,openai/gpt-oss-20b,5107,1023,0.6130,90578.8604
open-ui,6/17/2026, 7:06:04 AM,gemma4:12b,1786,888,0.2674,90579.4734
open-ui,6/17/2026, 7:05:38 AM,gemma4:12b,1127,1088,0.2215,90579.7408
open-ui,6/17/2026, 7:04:44 AM,gemma4:12b,627,1015,0.1642,90579.9623
open-ui,6/16/2026, 12:30:19 PM,gemma4:12b,1627,902,0.2529,90580.1265
open-ui,6/16/2026, 12:27:38 PM,openai/gpt-oss-20b,2952,683,0.3635,90580.3794
open-ui,6/16/2026, 12:27:18 PM,openai/gpt-oss-20b,2952,715,0.3667,90580.7429
open-ui,6/16/2026, 12:25:39 PM,qwen3.6:latest,1576,1797,0.3373,90581.1096
open-ui,6/16/2026, 12:23:11 PM,openai/gpt-oss-20b,2952,4832,0.7784,90581.4469
open-ui,6/16/2026, 12:16:14 PM,openai/gpt-oss-20b,1799,1114,0.2913,90582.2253
open-ui,6/16/2026, 12:14:39 PM,openai/gpt-oss-20b,1162,613,0.1775,90582.5166
open-ui,6/16/2026, 12:13:17 PM,openai/gpt-oss-20b,22,1072,0.1094,90582.6941
open-ui,6/15/2026, 11:18:33 AM,ministral3-clinical:latest,240,860,0.1100,90582.8035
Praveenkumar Karunakaran,6/12/2026, 12:26:56 PM,qwen3.6:latest,19,203,0.0222,898.7359
Praveenkumar Karunakaran,6/12/2026, 12:25:43 PM,gemma4:31b,40,138,0.0178,898.7581
Praveenkumar Karunakaran,6/12/2026, 12:24:57 PM,gemma4:31b,20,71,0.0091,898.7759
open-ui,6/11/2026, 7:44:09 AM,qwen3.6:latest,362,983,0.1345,90582.9135
Seema Mathew,6/11/2026, 4:44:16 AM,ministral-3:latest,9805,788,1.0593,908.5487
open-ui,6/10/2026, 2:25:02 PM,qwen3.6:latest,224,2509,0.2733,90583.0480
Praveenkumar Karunakaran,6/10/2026, 12:07:51 PM,Qwen3-8B-Q4_K_M.gguf,38,263,0.0301,898.7850
open-ui,6/10/2026, 11:26:34 AM,qwen3.6:latest,42,455,0.0497,90583.3213
Praveenkumar Karunakaran,6/10/2026, 11:26:25 AM,Qwen3-8B-Q4_K_M.gguf,14,181,0.0195,898.8151
Praveenkumar Karunakaran,6/10/2026, 11:26:09 AM,qwen3.6:latest,19,207,0.0226,898.8346
open-ui,6/10/2026, 10:10:05 AM,qwen3.6:latest,51,1040,0.1091,90583.3710
Seema Mathew,6/9/2026, 12:39:42 PM,ministral-3:latest,23696,1121,2.4817,909.6080
Seema Mathew,6/9/2026, 12:36:29 PM,ministral-3:latest,22725,964,2.3689,912.0897
Seema Mathew,6/9/2026, 12:34:57 PM,ministral-3:latest,21880,812,2.2692,914.4586
Seema Mathew,6/9/2026, 12:33:47 PM,ministral-3:latest,21116,737,2.1853,916.7278
Seema Mathew,6/9/2026, 12:32:16 PM,ministral-3:latest,20605,477,2.1082,918.9131
Seema Mathew,6/9/2026, 12:25:17 PM,ministral-3:latest,18268,2269,2.0537,921.0213
Seema Mathew,6/9/2026, 12:19:27 PM,ministral-3:latest,16459,1773,1.8232,923.0750
Seema Mathew,6/9/2026, 12:14:22 PM,ministral-3:latest,14476,1944,1.6420,924.8982
Seema Mathew,6/9/2026, 12:12:34 PM,ministral-3:latest,13029,1407,1.4436,926.5402
Seema Mathew,6/9/2026, 12:10:51 PM,ministral-3:latest,11761,625,1.2386,927.9838
Seema Mathew,6/9/2026, 12:06:53 PM,ministral-3:latest,10277,989,1.1266,929.2224
Seema Mathew,6/9/2026, 11:59:04 AM,ministral-3:latest,9130,646,0.9776,930.3490
Seema Mathew,6/9/2026, 11:56:20 AM,ministral-3:latest,9122,641,0.9763,931.3266
Seema Mathew,6/9/2026, 11:52:52 AM,ministral-3:latest,9842,321,1.0163,932.3029
Seema Mathew,6/9/2026, 11:52:10 AM,ministral-3:latest,9185,641,0.9826,933.3192
Seema Mathew,6/9/2026, 9:12:26 AM,ministral-3:latest,12052,1236,1.3288,934.3018
Seema Mathew,6/9/2026, 9:10:51 AM,ministral-3:latest,10945,1092,1.2037,935.6306
Seema Mathew,6/9/2026, 9:05:39 AM,ministral-3:latest,10035,891,1.0926,936.8343
Seema Mathew,6/9/2026, 9:03:42 AM,ministral-3:latest,8804,650,0.9454,937.9269
Seema Mathew,6/9/2026, 9:03:06 AM,ministral-3:latest,2048,807,0.2855,938.8723
Seema Mathew,6/9/2026, 9:02:00 AM,ministral-3:latest,2048,460,0.2508,939.1578
Seema Mathew,6/9/2026, 7:43:37 AM,ministral-3:latest,9552,122,0.9674,939.4086
Seema Mathew,6/9/2026, 7:42:55 AM,ministral-3:latest,8751,782,0.9533,940.3760
Seema Mathew,6/9/2026, 7:03:00 AM,ministral-3:latest,21115,1078,2.2193,941.3293
Seema Mathew,6/9/2026, 6:56:16 AM,ministral-3:latest,8751,782,0.9533,943.5486
Seema Mathew,6/9/2026, 6:49:48 AM,ministral-3:latest,20241,766,2.1007,944.5019
Seema Mathew,6/9/2026, 6:45:08 AM,ministral-3:latest,10590,710,1.1300,946.6026
Seema Mathew,6/9/2026, 6:44:10 AM,ministral-3:latest,9842,735,1.0577,947.7326
Seema Mathew,6/9/2026, 6:42:10 AM,ministral-3:latest,9289,529,0.9818,948.7903
Seema Mathew,6/9/2026, 6:39:10 AM,ministral-3:latest,8525,744,0.9269,949.7721
Seema Mathew,6/9/2026, 5:51:57 AM,ministral-3:latest,8585,116,0.8701,950.6990
open-ui,6/8/2026, 3:27:35 PM,Qwen3-8B-Q4_K_M.gguf,23,424,0.0447,90583.4801
Seema Mathew,6/8/2026, 8:46:49 AM,ministral-3:latest,7632,904,0.8536,951.5691
Seema Mathew,6/8/2026, 5:32:25 AM,ministral-3:latest,5932,864,0.6796,952.4227
Vishnu Prasad,6/6/2026, 9:58:46 AM,gemma4:31b,254,1421,0.1675,994.7983
Vishnu Prasad,6/6/2026, 9:57:24 AM,gemma4:31b,22,626,0.0648,994.9658
Vishnu Prasad,6/6/2026, 9:56:18 AM,qwen3.6:latest,37,610,0.0647,995.0306
Vishnu Prasad,6/6/2026, 9:55:52 AM,qwen3.6:latest,11,284,0.0295,995.0953
Praveenkumar Karunakaran,6/5/2026, 2:15:14 PM,gemma4:31b,1155,1718,0.2873,898.8572
Praveenkumar Karunakaran,6/5/2026, 2:13:29 PM,gemma4:31b,27,1690,0.1717,899.1445
Praveenkumar Karunakaran,6/5/2026, 1:59:55 PM,qwen3.6:latest,19,209,0.0228,899.3162
Seema Mathew,6/5/2026, 10:36:47 AM,ministral-3:latest,1929,758,0.2687,953.1023
Seema Mathew,6/5/2026, 10:35:51 AM,ministral-3:latest,1507,399,0.1906,953.3710
Seema Mathew,6/5/2026, 10:26:53 AM,ministral-3:latest,905,536,0.1441,953.5616
Seema Mathew,6/5/2026, 10:26:04 AM,ministral-3:latest,2120,750,0.2870,953.7057
Seema Mathew,6/5/2026, 10:24:54 AM,ministral-3:latest,1398,715,0.2113,953.9927
Seema Mathew,6/5/2026, 10:17:29 AM,ministral-3:latest,905,446,0.1351,954.2040
Seema Mathew,6/5/2026, 10:03:38 AM,ministral-3:latest,1720,612,0.2332,954.3391
Seema Mathew,6/5/2026, 9:59:15 AM,ministral-3:latest,877,451,0.1328,954.5723
Seema Mathew,6/5/2026, 7:49:05 AM,ministral-3:latest,2640,319,0.2959,954.7051
Seema Mathew,6/5/2026, 7:47:29 AM,ministral-3:latest,2205,335,0.2540,955.0010
Seema Mathew,6/5/2026, 7:46:45 AM,ministral-3:latest,1846,345,0.2191,955.2550
Seema Mathew,6/5/2026, 7:45:54 AM,ministral-3:latest,1613,211,0.1824,955.4741
Seema Mathew,6/5/2026, 7:45:15 AM,ministral-3:latest,1505,73,0.1578,955.6565
Seema Mathew,6/5/2026, 7:08:32 AM,ministral-3:latest,1287,51,0.1338,955.8143
Seema Mathew,6/5/2026, 7:06:27 AM,ministral-3:latest,1042,87,0.1129,955.9481
Seema Mathew,6/5/2026, 7:04:08 AM,ministral-3:latest,623,296,0.0919,956.0610
Seema Mathew,6/3/2026, 1:08:40 PM,ministral-3:latest,25443,1506,2.6949,956.1529
Seema Mathew,6/3/2026, 1:04:50 PM,llama-3.1-Nemotron-nano:latest,23852,406,2.4258,958.8478
Seema Mathew,6/3/2026, 11:08:32 AM,ministral-3:latest,543,1269,0.1812,961.2736
Praveenkumar Karunakaran,6/2/2026, 9:08:26 AM,gemma4:31b,28,992,0.1020,899.3390
Praveenkumar Karunakaran,6/2/2026, 8:58:43 AM,qwen3.6:latest,1269,757,0.2026,899.4410
Praveenkumar Karunakaran,6/2/2026, 8:57:32 AM,gemma4:31b,630,583,0.1213,899.6436
Praveenkumar Karunakaran,6/2/2026, 8:56:21 AM,gemma4:31b,69,1077,0.1146,899.7649
Vishnu Prasad,6/1/2026, 6:45:55 PM,gemma4:31b,10013,7855,1.7868,995.1248
Vishnu Prasad,6/1/2026, 6:35:20 PM,Qwen3-8B-Q4_K_M.gguf,139,3547,0.3686,996.9116
open-ui,5/27/2026, 12:15:11 PM,gemma4:31b,22042,1398,2.3440,90583.5248
open-ui,5/27/2026, 12:12:55 PM,gemma4:31b,21359,1203,2.2562,90585.8688
open-ui,5/27/2026, 12:03:29 PM,gemma4:31b,20837,951,2.1788,90588.1250
open-ui,5/27/2026, 12:01:11 PM,gemma4:31b,19537,1580,2.1117,90590.3038
Philipp Baer,5/26/2026, 4:32:12 AM,gemma4:31b,49,1318,0.1367,995.2691
Philipp Baer,5/26/2026, 4:30:07 AM,gpt-oss-custom:latest,2981,198,0.3179,995.4058
Philipp Baer,5/26/2026, 4:29:29 AM,ministral-3:latest,2528,317,0.2845,995.7237
Philipp Baer,5/26/2026, 4:23:39 AM,qwen3.6:latest,2406,1262,0.3668,996.0082
Philipp Baer,5/26/2026, 4:16:44 AM,gemma4:31b,2205,663,0.2868,996.3750
Philipp Baer,5/26/2026, 4:14:06 AM,gemma4:31b,2093,1666,0.3759,996.6618
Philipp Baer,5/26/2026, 4:11:18 AM,gemma4:31b,2493,699,0.3192,997.0377
Philipp Baer,5/26/2026, 4:09:15 AM,gemma4:31b,1852,1355,0.3207,997.3569
Philipp Baer,5/26/2026, 4:07:49 AM,gemma4:31b,1610,1070,0.2680,997.6776
Philipp Baer,5/26/2026, 4:05:51 AM,gemma4:31b,1444,1567,0.3011,997.9456
Philipp Baer,5/26/2026, 4:04:12 AM,gemma4:31b,1331,1710,0.3041,998.2467
Philipp Baer,5/26/2026, 4:02:29 AM,gemma4:31b,1285,157,0.1442,998.5508
Philipp Baer,5/26/2026, 4:01:56 AM,gemma4:31b,1188,394,0.1582,998.6950
Philipp Baer,5/26/2026, 4:01:25 AM,gemma4:31b,946,845,0.1791,998.8532
Philipp Baer,5/26/2026, 4:00:34 AM,gemma4:31b,869,308,0.1177,999.0323
Philipp Baer,5/26/2026, 3:59:51 AM,gemma4:31b,804,395,0.1199,999.1500
Philipp Baer,5/26/2026, 3:59:02 AM,gemma4:31b,776,243,0.1019,999.2699
Philipp Baer,5/26/2026, 3:57:14 AM,gemma4:31b,397,768,0.1165,999.3718
Philipp Baer,5/26/2026, 3:56:29 AM,gemma4:31b,208,454,0.0662,999.4883
Philipp Baer,5/26/2026, 3:55:59 AM,gemma4:31b,22,172,0.0194,999.5545
Philipp Baer,5/26/2026, 3:55:50 AM,gemma4:31b,71,403,0.0474,999.5739
Seema Mathew,5/22/2026, 5:28:49 PM,ministral-3:latest,23959,142161,16.6120,961.4548
open-ui,5/19/2026, 11:00:13 AM,Qwen3-8B-Q4_K_M.gguf,4998,2342,0.7340,90592.4155
open-ui,5/19/2026, 10:59:04 AM,Qwen3-8B-Q4_K_M.gguf,3505,1408,0.4913,90593.1495
open-ui,5/19/2026, 10:54:26 AM,Qwen3-8B-Q4_K_M.gguf,1630,1634,0.3264,90593.6408
open-ui,5/19/2026, 10:53:58 AM,Qwen3-8B-Q4_K_M.gguf,56,1567,0.1623,90593.9672
open-ui,5/19/2026, 7:56:07 AM,Qwen3-8B-Q4_K_M.gguf,746,917,0.1663,90594.1295
open-ui,5/19/2026, 7:55:58 AM,Qwen3-8B-Q4_K_M.gguf,18,719,0.0737,90594.2958
Praveenkumar Karunakaran,5/18/2026, 3:27:24 PM,qwen3.6:latest,49,362,0.0411,899.8795
Praveenkumar Karunakaran,5/18/2026, 3:26:40 PM,gemma4:31b,19,136,0.0155,899.9206
212455943,5/18/2026, 9:01:03 AM,gemma4:31b,41,794,0.0835,999.9081
212455943,5/18/2026, 9:00:47 AM,gemma4:31b,16,68,0.0084,999.9916
Praveenkumar Karunakaran,5/15/2026, 8:18:58 AM,gemma4:31b,26,699,0.0725,899.9361
open-ui,5/13/2026, 1:21:44 PM,gemma4:31b,18392,1477,1.9869,90594.3695
Praveenkumar Karunakaran,5/13/2026, 9:14:27 AM,gemma4:31b,1595,1796,0.3391,900.0086
Praveenkumar Karunakaran,5/13/2026, 9:10:18 AM,gemma4:31b,792,1196,0.1988,900.3477
Praveenkumar Karunakaran,5/13/2026, 8:56:56 AM,gemma4:31b,110,1251,0.1361,900.5465
open-ui,5/12/2026, 1:45:03 PM,gemma4:31b,17828,996,1.8824,90596.3564
open-ui,5/12/2026, 1:39:30 PM,gemma4:31b,17445,1006,1.8451,90598.2388
open-ui,5/12/2026, 11:55:27 AM,gemma4:31b,12702,2163,1.4865,90600.0839
open-ui,5/11/2026, 2:19:02 PM,gemma4:31b,11476,1858,1.3334,90601.5704
open-ui,5/11/2026, 1:31:55 PM,gemma4:31b,10491,1955,1.2446,90602.9038
Philipp Baer,5/11/2026, 10:41:54 AM,qwen3.6:latest,13,312,0.0325,999.6213
open-ui,5/11/2026, 10:29:30 AM,gemma4:31b,9236,1860,1.1096,90604.1484
open-ui,5/11/2026, 10:16:20 AM,gemma4:31b,14327,1780,1.6107,90605.2580
open-ui,5/11/2026, 10:13:11 AM,gemma4:31b,13170,1342,1.4512,90606.8687
open-ui,5/11/2026, 9:59:02 AM,gemma4:31b,12236,1376,1.3612,90608.3199
open-ui,5/11/2026, 7:41:58 AM,gemma4:31b,7964,1949,0.9913,90609.6811
open-ui,5/11/2026, 7:40:03 AM,gemma4:31b,6628,1918,0.8546,90610.6724
open-ui,5/10/2026, 8:09:08 AM,gemma4:31b,5341,2067,0.7408,90611.5270
open-ui,5/7/2026, 2:42:48 PM,gemma4:31b,5844,1562,0.7406,90612.2678
open-ui,5/7/2026, 2:30:26 PM,gemma4:31b,4064,1498,0.5562,90613.0084
open-ui,5/7/2026, 2:27:12 PM,gemma4:31b,2287,1492,0.3779,90613.5646
open-ui,5/7/2026, 2:22:06 PM,gemma4:31b,293,1705,0.1998,90613.9425
open-ui,5/7/2026, 11:57:09 AM,Qwen3-8B-Q4_K_M.gguf,8322,2190,1.0512,90614.1423
open-ui,5/7/2026, 11:56:13 AM,ministral-3:latest,6446,1711,0.8157,90615.1935
open-ui,5/7/2026, 11:43:36 AM,Qwen3-8B-Q4_K_M.gguf,1990,663,0.2653,90616.0092
open-ui,5/7/2026, 11:42:53 AM,Qwen3-8B-Q4_K_M.gguf,752,1225,0.1977,90616.2745
open-ui,5/7/2026, 11:38:41 AM,ministral-3:latest,3531,1129,0.4660,90616.4722
open-ui,5/7/2026, 11:36:50 AM,Qwen3-8B-Q4_K_M.gguf,2740,1216,0.3956,90616.9382
open-ui,5/7/2026, 11:35:41 AM,Qwen3-8B-Q4_K_M.gguf,1300,1418,0.2718,90617.3338
open-ui,5/7/2026, 11:35:24 AM,Qwen3-8B-Q4_K_M.gguf,378,908,0.1286,90617.6056
Maged,5/6/2026, 11:20:42 AM,gemma4:31b,256,182,0.0438,49.8641
Maged,5/6/2026, 11:04:14 AM,gpt-oss-custom:latest,141,196,0.0337,49.9079
Maged,5/6/2026, 11:02:12 AM,viewpoint-local,207,56,0.0079,49.9416
Maged,5/6/2026, 11:02:06 AM,viewpoint-local,132,69,0.0060,49.9495
open-ui,5/5/2026, 9:27:52 AM,gemma4:31b,16294,1388,1.7682,90617.7342
open-ui,5/5/2026, 9:15:17 AM,gemma4:31b,14614,1629,1.6243,90619.5024
open-ui,5/5/2026, 9:10:25 AM,gemma4:31b,13305,1186,1.4491,90621.1267
open-ui,5/5/2026, 8:50:05 AM,gemma4:31b,11404,1760,1.3164,90622.5758
open-ui,5/5/2026, 8:46:50 AM,gemma4:31b,9777,1609,1.1386,90623.8922
open-ui,5/5/2026, 8:39:56 AM,gemma4:31b,8168,1573,0.9741,90625.0308
open-ui,5/5/2026, 7:56:10 AM,gemma4:31b,6804,1233,0.8037,90626.0049
open-ui,5/5/2026, 5:38:27 AM,gemma4:31b,4864,1915,0.6779,90626.8086
open-ui,5/5/2026, 5:35:39 AM,gemma4:31b,2739,2089,0.4828,90627.4865
open-ui,5/4/2026, 12:14:44 PM,ministral-3:latest,1034,547,0.1581,90627.9693
Praveenkumar Karunakaran,4/30/2026, 11:25:59 AM,gemma4:31b,2370,1576,0.3946,900.6826
Praveenkumar Karunakaran,4/30/2026, 11:21:55 AM,gemma4:31b,58,2253,0.2311,901.0772
Philipp Baer,4/30/2026, 9:32:17 AM,image-generation,774,573,0.1347,999.6538
Philipp Baer,4/30/2026, 9:31:40 AM,image-generation,872,383,0.1255,999.7885
open-ui,4/30/2026, 9:30:44 AM,image-generation,277,413,0.0690,90628.1274
open-ui,4/30/2026, 9:29:59 AM,image-generation,12,216,0.0228,90628.1964
open-ui,4/30/2026, 9:29:33 AM,image-generation,12,263,0.0275,90628.2192
Philipp Baer,4/30/2026, 9:27:35 AM,image-generation,547,313,0.0860,999.9140
Praveenkumar Karunakaran,4/30/2026, 9:08:41 AM,gemma4:31b,22,990,0.1012,901.3083
Praveenkumar Karunakaran,4/29/2026, 2:50:19 PM,gemma4:31b,4799,1626,0.6425,901.4095
Praveenkumar Karunakaran,4/29/2026, 2:35:19 PM,gemma4:31b,19,1091,0.1110,902.0520
Praveenkumar Karunakaran,4/29/2026, 2:32:38 PM,gemma4:31b,1637,1591,0.3228,902.1630
Praveenkumar Karunakaran,4/29/2026, 2:22:18 PM,gemma4:31b,1619,1545,0.3164,902.4858
Praveenkumar Karunakaran,4/29/2026, 2:13:01 PM,gemma4:31b,1606,1255,0.2861,902.8022
Praveenkumar Karunakaran,4/29/2026, 2:02:43 PM,gemma4:31b,24,1562,0.1586,903.0883
open-ui,4/29/2026, 11:31:21 AM,gemma4:31b,324,1406,0.1730,90628.2467
Praveenkumar Karunakaran,4/28/2026, 4:02:04 PM,gemma4:31b,21,790,0.0811,903.2469
open-ui,4/27/2026, 11:03:35 AM,gemma4:31b,25732,1841,2.7573,90628.4197
open-ui,4/27/2026, 9:04:15 AM,gemma4:31b,24016,1683,2.5699,90631.1770
open-ui,4/24/2026, 1:27:55 PM,gemma4:31b,22546,1451,2.3997,90633.7469
open-ui,4/24/2026, 1:13:44 PM,gemma4:31b,21000,1526,2.2526,90636.1466
open-ui,4/24/2026, 12:50:21 PM,gemma4:31b,19666,1313,2.0979,90638.3992
open-ui,4/24/2026, 12:43:02 PM,gemma4:31b,17868,1781,1.9649,90640.4971
open-ui,4/24/2026, 12:40:35 PM,gemma4:31b,15952,1893,1.7845,90642.4620
open-ui,4/24/2026, 12:24:42 PM,gemma4:31b,14073,1854,1.5927,90644.2465
open-ui,4/24/2026, 12:21:23 PM,gemma4:31b,12306,1723,1.4029,90645.8392
Uday Kumar,4/24/2026, 3:21:29 AM,qwen3.6:latest,20,952,0.0972,999.8204
open-ui,4/23/2026, 12:08:09 PM,gpt-oss-custom:latest,17156,2372,1.9528,90647.2421
open-ui,4/23/2026, 12:06:45 PM,gpt-oss-custom:latest,15266,1848,1.7114,90649.1949
open-ui,4/23/2026, 12:04:36 PM,gpt-oss-custom:latest,12576,2660,1.5236,90650.9063
open-ui,4/23/2026, 11:55:31 AM,gpt-oss-custom:latest,10378,2181,1.2559,90652.4299
open-ui,4/23/2026, 11:46:32 AM,gpt-oss-custom:latest,9039,1303,1.0342,90653.6858
open-ui,4/23/2026, 11:44:05 AM,gpt-oss-custom:latest,6589,2438,0.9027,90654.7200
open-ui,4/23/2026, 11:43:31 AM,gpt-oss-custom:latest,4573,1976,0.6549,90655.6227
open-ui,4/23/2026, 11:38:37 AM,gpt-oss-custom:latest,2945,1616,0.4561,90656.2776
open-ui,4/23/2026, 11:38:09 AM,gpt-oss-custom:latest,339,2583,0.2922,90656.7337
open-ui,4/23/2026, 11:26:56 AM,viewpoint-local,3105,546,0.1095,90657.0259
open-ui,4/23/2026, 11:23:09 AM,viewpoint-local,1137,969,0.0632,90657.1354
open-ui,4/23/2026, 11:23:02 AM,viewpoint-local,2160,1220,0.1014,90657.1986
open-ui,4/22/2026, 4:13:51 PM,qwen3.6:latest,4254,2656,0.6910,90657.3000
open-ui,4/22/2026, 4:12:29 PM,qwen3.6:latest,4255,3435,0.7690,90657.9910
open-ui,4/22/2026, 4:07:46 PM,qwen3.6:latest,4255,3715,0.7970,90658.7600
open-ui,4/22/2026, 3:29:38 PM,qwen3.6:latest,3091,3625,0.6716,90659.5570
open-ui,4/22/2026, 3:26:07 PM,qwen3.6:latest,2003,5507,0.7510,90660.2286
open-ui,4/22/2026, 2:59:03 PM,qwen3.6:latest,2160,4314,0.6474,90660.9796
open-ui,4/21/2026, 5:08:54 PM,qwen3.6:latest,383,3290,0.3673,90661.6270
Seema Mathew,4/20/2026, 4:17:29 PM,phi4-mini:3.8b,151,94,0.0245,978.0668
open-ui,4/20/2026, 3:44:14 PM,viewpoint-local,2588,326,0.0874,90661.9943
open-ui,4/20/2026, 3:41:21 PM,viewpoint-local,4826,584,0.1623,90662.0817
open-ui,4/20/2026, 3:29:58 PM,gemma4:31b,3038,1477,0.4515,90662.2440
Seema Mathew,4/20/2026, 3:11:28 PM,viewpoint-local,233,42,0.0083,978.0913
Seema Mathew,4/20/2026, 3:04:36 PM,viewpoint-local,181,40,0.0066,978.0996
Seema Mathew,4/20/2026, 3:01:42 PM,viewpoint-local,120,38,0.0047,978.1062
open-ui,4/20/2026, 1:12:15 PM,gemma4:31b,1799,1208,0.3007,90662.6955
open-ui,4/20/2026, 1:09:20 PM,gemma4:31b,234,1518,0.1752,90662.9962
open-ui,4/20/2026, 8:47:17 AM,ministral-3:latest,195,978,0.1173,90663.1714
open-ui,4/20/2026, 8:20:37 AM,ministral-3:latest,57,123,0.0180,90663.2887
open-ui,4/20/2026, 8:13:02 AM,ministral-3:latest,9,42,0.0051,90663.3067
Seema Mathew,4/20/2026, 6:35:10 AM,ministral-3:latest,43742,68975,11.2717,978.1109
Seema Mathew,4/20/2026, 5:11:34 AM,ministral-3:latest,22485,862,2.3347,989.3826
open-ui,4/17/2026, 2:32:51 PM,gemma4:31b,3525,1589,0.5114,90663.3118
open-ui,4/17/2026, 2:29:24 PM,gemma4:31b,1394,1738,0.3132,90663.8232
open-ui,4/17/2026, 8:56:08 AM,viewpoint-local,5516,528,0.1813,90664.1364
open-ui,4/17/2026, 8:08:49 AM,gemma4:31b,2522,1181,0.3703,90664.3177
open-ui,4/17/2026, 8:04:55 AM,gemma4:31b,1336,1160,0.2496,90664.6880
open-ui,4/17/2026, 8:00:54 AM,gemma4:31b,98,1215,0.1313,90664.9376
open-ui,4/16/2026, 1:43:01 PM,gemma4:31b,291,1844,0.2135,90665.0689
